time,step,price,size,side,kind
2026-09-12T18:45:46,192,993,23.32,sell,stop
2026-09-12T18:45:46,192,993,0.8299999999999912,sell,stop
2026-09-12T18:45:46,192,992,11.690000000000008,sell,stop
2026-09-12T18:45:46,192,992,16.47,sell,stop
2026-09-12T18:45:46,192,992,9.549999999999994,sell,stop
2026-09-12T18:45:46,192,991,1.9600000000000062,sell,stop
2026-09-12T18:45:46,192,991,18.97,sell,stop
2026-09-12T18:45:46,192,991,13.34,sell,stop
2026-09-12T18:45:46,200,996,16.99,buy,market
2026-09-12T18:45:46,202,996,13.34,buy,market
2026-09-12T18:45:46,202,997,3.039999999999999,buy,market
2026-09-12T18:45:46,203,992,9.95,sell,market
2026-09-12T18:45:46,207,992,8.5,sell,market
2026-09-12T18:45:46,212,992,13.69,sell,market
2026-09-12T18:45:46,214,997,8.91,buy,market
2026-09-12T18:45:46,215,992,7.28,sell,market
2026-09-12T18:45:46,218,992,16.33,sell,market
2026-09-12T18:45:46,226,992,12.880000000000003,sell,market
2026-09-12T18:45:46,226,991,4.399999999999999,sell,market
2026-09-12T18:45:46,232,996,16.88,buy,market
2026-09-12T18:45:46,234,991,1.9799999999999933,sell,market
2026-09-12T18:45:46,234,990,17.340000000000007,sell,market
2026-09-12T18:45:46,234,990,12.699999999999992,sell,stop
2026-09-12T18:45:46,234,989,3.680000000000007,sell,stop
2026-09-12T18:45:46,234,989,16.99,sell,stop
2026-09-12T18:45:46,234,989,8.91,sell,stop
2026-09-12T18:45:46,235,994,14.34,buy,market
2026-09-12T18:45:46,235,995,4.23,buy,market
2026-09-12T18:45:46,245,995,16.96,buy,market
2026-09-12T18:45:46,247,990,15.14,sell,market
2026-09-12T18:45:46,251,990,17.61,sell,market
2026-09-12T18:45:46,252,995,7.4,buy,market
2026-09-12T18:45:46,253,990,2.1400000000000006,sell,market
2026-09-12T18:45:46,253,989,16.27,sell,market
2026-09-12T18:45:46,259,989,7.44,sell,market
2026-09-12T18:45:46,261,994,20.65,buy,market
2026-09-12T18:45:46,262,994,0.2700000000000031,buy,market
2026-09-12T18:45:46,262,995,8.629999999999997,buy,market
2026-09-12T18:45:46,262,995,13.940000000000003,buy,stop
2026-09-12T18:45:46,262,996,4.469999999999997,buy,stop
2026-09-12T18:45:46,264,991,19.45,sell,market
2026-09-12T18:45:46,264,996,19.45,buy,stop
2026-09-12T18:45:46,269,991,20.02,sell,market
2026-09-12T18:45:46,270,991,10.71,sell,market
2026-09-12T18:45:46,271,996,15.03,buy,market
2026-09-12T18:45:46,273,991,2.629999999999999,sell,market
2026-09-12T18:45:46,273,990,15.34,sell,market
2026-09-12T18:45:46,273,990,15.03,sell,stop
2026-09-12T18:45:46,274,995,6.79,buy,market
2026-09-12T18:45:46,278,990,16.87,sell,market
2026-09-12T18:45:46,279,990,0.8399999999999928,sell,market
2026-09-12T18:45:46,279,989,14.350000000000007,sell,market
2026-09-12T18:45:46,280,994,13.91,buy,market
2026-09-12T18:45:46,280,989,13.91,sell,stop
2026-09-12T18:45:46,286,989,16.06,sell,market
2026-09-12T18:45:46,287,989,12.99,sell,market
2026-09-12T18:45:46,287,994,7.390000000000001,buy,stop
2026-09-12T18:45:46,287,995,5.6,buy,stop
2026-09-12T18:45:46,288,990,14.47,sell,market
2026-09-12T18:45:46,291,990,9.75,sell,market
2026-09-12T18:45:46,293,990,9.21,sell,market
2026-09-12T18:45:46,297,990,9.829999999999998,sell,market
